YAW_PITCH_ROLL


XYZ according to board
Note Y-based offset potentially apparent

ypr	1.18	-0.51	1.76
ypr	1.20	-0.53	1.80
ypr	1.22	-0.54	1.83
ypr	1.24	-0.55	1.87
ypr	1.25	-0.56	1.90
ypr	1.28	-0.57	1.94
ypr	1.30	-0.57	1.97
ypr	1.32	-0.59	2.01
ypr	1.34	-0.60	2.04
ypr	1.36	-0.60	2.08
ypr	1.38	-0.61	2.11
ypr	1.40	-0.63	2.14
ypr	1.42	-0.64	2.17
ypr	1.45	-0.64	2.20
ypr	1.47	-0.65	2.24
ypr	1.48	-0.66	2.26
ypr	1.50	-0.67	2.29
ypr	1.52	-0.67	2.33
ypr	1.55	-0.68	2.36
ypr	1.57	-0.69	2.38
ypr	1.59	-0.70	2.41
ypr	1.60	-0.71	2.44
ypr	1.62	-0.71	2.47
ypr	1.64	-0.72	2.50
ypr	1.67	-0.73	2.53
ypr	1.69	-0.74	2.56
ypr	1.71	-0.74	2.58
ypr	1.73	-0.75	2.61
ypr	1.74	-0.76	2.63
ypr	1.77	-0.77	2.66
ypr	1.79	-0.78	2.69
ypr	1.81	-0.78	2.72
ypr	1.83	-0.79	2.74
ypr	1.85	-0.80	2.76
ypr	1.86	-0.81	2.79
ypr	1.89	-0.82	2.81
ypr	1.91	-0.82	2.83
ypr	1.93	-0.82	2.86
ypr	1.95	-0.83	2.88
ypr	1.97	-0.84	2.91
ypr	1.99	-0.85	2.93
ypr	2.01	-0.86	2.95
ypr	2.03	-0.86	2.98
ypr	2.05	-0.86	3.00
ypr	2.07	-0.87	3.02
ypr	2.09	-0.88	3.04
ypr	2.11	-0.89	3.06
ypr	2.13	-0.89	3.08
ypr	2.15	-0.90	3.10
ypr	2.17	-0.90	3.12
ypr	2.19	-0.91	3.14
ypr	2.21	-0.92	3.17
ypr	2.23	-0.93	3.19
ypr	2.26	-0.93	3.21
ypr	2.27	-0.94	3.23
ypr	2.29	-0.95	3.25
ypr	2.31	-0.95	3.26
ypr	2.33	-0.95	3.28
ypr	2.35	-0.96	3.30
ypr	2.37	-0.96	3.32
ypr	2.39	-0.97	3.34
ypr	2.41	-0.98	3.36
ypr	2.43	-0.99	3.38
ypr	2.45	-0.99	3.39
ypr	2.47	-1.00	3.41
ypr	2.49	-1.00	3.43
ypr	2.51	-1.00	3.45
ypr	2.53	-1.01	3.46
ypr	2.55	-1.02	3.48
ypr	2.57	-1.02	3.50
ypr	2.59	-1.03	3.52
ypr	2.61	-1.04	3.53
ypr	2.63	-1.04	3.55
ypr	2.65	-1.05	3.57
ypr	2.67	-1.05	3.58
ypr	2.69	-1.06	3.59
ypr	2.71	-1.06	3.61
ypr	2.73	-1.06	3.63
ypr	2.75	-1.07	3.64
ypr	2.77	-1.07	3.65
ypr	2.79	-1.08	3.68
ypr	2.82	-1.08	3.69
ypr	2.83	-1.09	3.70
ypr	2.85	-1.09	3.72
ypr	2.87	-1.10	3.73
ypr	2.89	-1.10	3.74
ypr	2.91	-1.11	3.76
ypr	2.93	-1.12	3.77
ypr	2.95	-1.12	3.79
ypr	2.97	-1.13	3.80
ypr	2.99	-1.13	3.81
ypr	3.01	-1.13	3.83
ypr	3.03	-1.14	3.84
ypr	3.05	-1.14	3.85
ypr	3.07	-1.14	3.86
ypr	3.09	-1.15	3.87
ypr	3.11	-1.15	3.89
ypr	3.13	-1.15	3.90
ypr	3.15	-1.16	3.92
ypr	3.17	-1.16	3.93
ypr	3.19	-1.16	3.94
ypr	3.21	-1.17	3.95
ypr	3.23	-1.17	3.96
ypr	3.25	-1.18	3.98
